73, Not in universe, 0, 0, High school graduate, 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder, 1700.09, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
41, Self-employed-not incorporated, 33, 29, High school graduate, 0, Not in universe, Married-civilian spouse present, Retail trade, Other service, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Northeast, New Mexico, Householder, Householder, 1982.11, MSA to MSA, Different state same division, Different state in Northeast, No, No, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 38, 94, - 50000.
0, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 532.06, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
17, Not in universe, 0, 0, 10th grade, 0, High school, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 2446.19, 0, 0, 0, Not in universe under 1 year old, 0, 1, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 12, 95, - 50000.
33, Private, 11, 14, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Technicians and related support, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 26, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 4031.86, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
45, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 3670.55, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
9, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 2650.68, 0, 0, 0, Not in universe under 1 year old, 0, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
60, Private, 22, 36, High school graduate, 0, Not in universe, Divorced, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Not in universe, Job loser - on layoff, Unemployed full-time, 0, 2001, 0, Single, Not in universe, Not in universe, Child 18+ ever marr Not in a subfamily, Child 18 or older, 1771.6, 0, 0, 0, Not in universe under 1 year old, 0, 4, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 45, 95, - 50000.
28, Private, 35, 23, 12th grade no diploma, 0, Not in universe, Never married, Finance insurance and real estate, Adm support including clerical, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 1491.59, 0, 0, 0, Not in universe under 1 year old, 0, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
53, Self-employed-not incorporated, 7, 2, 1st 2nd 3rd or 4th grade, 0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 7688, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1618.31, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, Italy, Italy, Italy, Foreign born- U S citizen by naturalization, 0, Not in universe, 2, 52, 94, 50000+.
39, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 500, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 2474.02, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
54, Self-employed-incorporated, 35, 17, High school graduate, 0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint one under 65 & one 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 3705.93, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
68, Not in universe, 0, 0, 7th and 8th grade, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint one under 65 & one 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1424.5, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
6, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, Cuban, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1129.19, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, Cuba, Cuba, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
18, Private, 37, 17, High school graduate, 0, Not in universe, Never married, Business and repair services, Sales, Black, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 1821.02, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 24, 95, - 50000.
20, Not in universe, 0, 0, High school graduate, 0, College or university, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 2038.49, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
20, Private, 38, 42, High school graduate, 0, Not in universe, Never married, Business and repair services, Handlers equip cleaners etc , White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 1189.97, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 40, 95, - 50000.
24, Private, 40, 10, Some college but no degree, 0, Not in universe, Never married, Entertainment, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child 18+ never marr RP of subfamily, Child 18 or older, 1157.99, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
69, Not in universe, 0, 0, 7th and 8th grade, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1390.31, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, Cambodia, Italy, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
10, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1684.65, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
45, Not in universe, 0, 0, High school graduate, 0, Not in universe, Divorced, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 1138.19, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 4, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 1, 94, - 50000.
31, Private, 32, 24, Some college but no degree, 0, Not in universe, Never married, Wholesale trade, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 3818.4, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 4, Not in universe, United-States, England, United-States, Native- Born in the United States, 2, Not in universe, 2, 52, 94, - 50000.
34, Private, 44, 12, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Social services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 5013, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 2997.26, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
60, Private, 36, 27, Bachelors degree(BA AB BS), 0, Not in universe, Divorced, Private household services, Private household services, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder, 4032.87, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, Mexico, Mexico, Mexico, Foreign born- U S citizen by naturalization, 0, Not in universe, 2, 52, 95, - 50000.
11, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, Other Spanish, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 448.59, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, Mexico, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
46, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1276.56, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 2, No, 1, 26, 95, - 50000.
72, Not in universe, 0, 0, Some college but no degree, 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 2078.3, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
32, Private, 23, 36, Bachelors degree(BA AB BS), 1619, Not in universe, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Yes, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 2192.8, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
10, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 900.19, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
55, Not in universe, 0, 0, 7th and 8th grade, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1690.83, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
36, Not in universe, 0, 0, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 996.79, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
21, Not in universe, 0, 0, 10th grade, 0, Not in universe, Married-spouse absent, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ ever marr RP of subfamily, Other relative of householder, 1113.38, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 0, 94, - 50000.
16, Private, 33, 29, 11th grade, 0, High school, Never married, Retail trade, Other service, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 512.51, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Mother only present, Mexico, Mexico, United-States, Native- Born in the United States, 0, Not in universe, 2, 12, 94, - 50000.
41, Private, 11, 33, Associates degree-occup /vocational, 1870, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, Yes, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 2171.54, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
5, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 961.89, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
28, Self-employed-not incorporated, 37, 12, Masters degree(MA MS MEng MEd MSW MBA), 0, Not in universe, Married-civilian spouse present, Business and repair services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Northeast, Maryland, Spouse of householder, Spouse of householder, 416.15, MSA to nonMSA, Different state same division, Different state in Northeast, No, No, 4, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 44, 94, - 50000.
25, Private, 33, 29, Bachelors degree(BA AB BS), 0, Not in universe, Never married, Retail trade, Other service, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 512.13, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 2, Not in universe, 2, 52, 94, - 50000.
77, Not in universe, 0, 0, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 600, Joint both 65+, Not in universe, Not in universe, Householder, Householder, 1002.78, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
73, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 3812.38, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 35, 95, - 50000.
4, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 905.26, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
77, Not in universe, 0, 0, High school graduate, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 973.6, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, 0, 0, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
44, Private, 38, 33, High school graduate, 0, Not in universe, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1191.21, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
36, Private, 25, 2, Some college but no degree, 0, Not in universe, Divorced, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 150, Head of household, Midwest, Kentucky, Householder, Householder, 1256.71, MSA to nonMSA, Different county same state, Different county same state, No, No, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
57, Not in universe, 0, 0, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 1902, 15000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1846.07, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, 0, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, 50000+.
19, Not in universe, 0, 0, 12th grade no diploma, 0, High school, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 1590.09, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 2, Not in universe, Mexico, Mexico, United-States, Native- Born in the United States, 0, Not in universe, 2, 8, 94, - 50000.
42, Private, 4, 38, High school graduate, 0, Not in universe, Married-civilian spouse present, Construction, Transportation and material moving, White, All other, Male, Not in universe, Job loser - on layoff, Unemployed full-time, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 3763.4, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
24, Private, 34, 2, Bachelors degree(BA AB BS), 0, Not in universe, Never married, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder, 2049.36, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
16, Not in universe, 0, 0, 9th grade, 0, High school, Never married, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 739.01, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 0, 95, - 50000.
41, Private, 12, 35, High school graduate, 0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, Cuban, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1127.78, 0, 0, 0, Not in universe under 1 year old, 0, 4, Not in universe, Cuba, Cuba, Cuba, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 22, 95, - 50000.
46, Private, 32, 23, High school graduate, 0, Not in universe, Married-civilian spouse present, Wholesale trade, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 45, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1390.19, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
2, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 3390.58, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, 0, 0, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
40, Private, 37, 5, Associates degree-academic program, 0, Not in universe, Never married, Business and repair services, Professional specialty, White, All other, Female, No, Not in universe, Full-time schedules, 0, 0, 30, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 1799.22, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, 50000+.
76, Not in universe, 0, 0, 7th and 8th grade, 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Householder, Householder, 1101.55, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
21, Not in universe, 0, 0, Some college but no degree, 0, College or university, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 1146.81, 0, 0, 0, Not in universe under 1 year old, 0, 5, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 16, 95, - 50000.
32, Private, 39, 12, High school graduate, 0, Not in universe, Divorced, Personal services except private HH, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Head of household, Not in universe, Not in universe, Child 18+ ever marr RP of subfamily, Child 18 or older, 1153.33, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 50, 94, - 50000.
1, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 2234.94, 0, 0, 0, Not in universe under 1 year old, 0, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
40, Self-employed-not incorporated, 19, 24, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1066.18, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 52, 94, - 50000.
34, Private, 4, 2, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Construction, Executive admin and managerial, White, All other, Male, No, Not in universe, PT for non-econ reasons usually FT, 7688, 0, 375, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 2971.15, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
49, Private, 29, 2, Associates degree-occup /vocational, 0, Not in universe, Married-civilian spouse present, Transportation, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 2383.76, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, Mexico, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
10, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 456.28, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
33, Not in universe, 0, 0, Associates degree-academic program, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 997.37, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, South Korea, South Korea, South Korea, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 8, 95, - 50000.
5, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 861.73, 0, 0, 0, Not in universe under 1 year old, 0, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
31, Private, 41, 31, 12th grade no diploma, 0, Not in universe, Married-civilian spouse present, Hospital services, Other service, Other, Puerto Rican, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 870.64, 0, 0, 0, Not in universe under 1 year old, 0, 4, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying, 0, Not in universe, 2, 52, 95, - 50000.
48, Private, 42, 30, High school graduate, 786, Not in universe, Married-civilian spouse present, Medical except hospital, Other service, White, All other, Female, No, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1237.18, 0, 0, 0, Not in universe under 1 year old, 0, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
